Rank,Title,Popularity,Genre,Studio,Type,Episodes,Duration,Start_date,End_date,Members,Score
19,Koe no Katachi,19,"Award Winning, Drama",Kyoto Animation,Movie,1,130,16-Sep,16-Sep,2142847,8.94
20,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,960,"Action, Comedy, Sci-Fi",Sunrise,Movie,1,110,13-Jul,13-Jul,224966,8.92
21,Bocchi the Rock!,597,Comedy,CloverWorks,TV,12,23,22-Oct,22-Dec,354287,8.91
22,Code Geass: Hangyaku no Lelouch R2,47," Action, Award Winning, Drama, Sci-Fi",Sunrise,TV,25,24,8-Apr,8-Sep,1670371,8.91
23,Violet Evergarden Movie,375,"Award Winning, Drama, Fantasy",Kyoto Animation,Movie,1,140,20-Sep,20-Sep,524302,8.91
24,Owarimonogatari 2nd Season,557,"Comedy, Mystery, Supernatural",Shaft,TV,7,22,17-Aug,17-Aug,373320,8.89
25,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,1187,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,TV,14,24,18-Jul,18-Oct,180818,8.88
26,Monster,145,"Drama, Mystery, Suspense",Madhouse,TV,74,24,4-Apr,5-Sep,973346,8.86
27,Kimi no Na wa.,11,"Award Winning, Drama, Supernatural",CoMix Wave Films,Movie,1,106,16-Aug,16-Aug,2541050,8.85
28,Gintama.: Shirogane no Tamashii-hen,1106,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,TV,12,24,18-Jan,18-Mar,195242,8.81
29,Kimetsu no Yaiba: Yuukaku-hen,108,"Action, Fantasy",ufotable,TV,11,26,21-Dec,22-Feb,1161501,8.81
30,Kingdom 3rd Season,2064,Action,"Pierrot, Studio Signpost",TV,26,25,20-Apr,21-Oct,87348,8.81
31,Mob Psycho 100 II,76,"Action, Comedy, Supernatural",Bones,TV,13,24,19-Jan,19-Apr,1396286,8.80
32,Shingeki no Kyojin: The Final Season,41,"Action, Drama",MAPPA,TV,16,23,20-Dec,21-Mar,1792439,8.80
33,Kizumonogatari III: Reiketsu-hen,467,"Action, Mystery, Supernatural",Shaft,Movie,1,83,17-Jan,17-Jan,431963,8.79
34,Sen to Chihiro no Kamikakushi,44,"Adventure, Award Winning, Supernatural",Studio Ghibli,Movie,1,124,1-Jul,1-Jul,1726236,8.78
35,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,114,Sports,Production I.G,TV,10,24,16-Oct,16-Dec,1119267,8.78
36,Monogatari Series: Second Season,291,"Comedy, Mystery, Romance, Supernatural",Shaft,TV,26,25,13-Jul,13-Dec,639359,8.77
37,Shingeki no Kyojin: The Final Season Part 2,124,"Action, Drama",MAPPA,TV,12,23,22-Jan,22-Apr,1077191,8.77
38,Shiguang Dailiren,779,"Drama, Supernatural",Studio LAN,ONA,11,23,21-Apr,21-Jul,279830,8.75
39,Cowboy Bebop,43,"Action, Award Winning, Sci-Fi",Sunrise,TV,26,24,Apr-98,Apr-99,1737593,8.75
40,Hajime no Ippo,369,Sports,Madhouse,TV,75,23,Oct-00,2-Mar,531069,8.75
41,Kingdom 4th Season,2838,Action,"Pierrot, Studio Signpost",TV,26,24,22-Apr,22-Oct,50228,8.75
42,Mob Psycho 100 III,376,"Action, Comedy, Supernatural",Bones,TV,12,23,22-Oct,22-Dec,524158,8.74
43,Mushishi Zoku Shou 2nd Season,867,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Artland,TV,10,23,14-Oct,14-Dec,250662,8.73
44,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,1203,Drama,Studio Deen,TV,12,24,17-Jan,17-Mar,178138,8.73
45,Vinland Saga,88,"Action, Adventure, Drama",Wit Studio,TV,24,24,19-Jul,19-Dec,1294710,8.73
46,Vinland Saga Season 2,615,"Action, Adventure, Drama",MAPPA,TV,24,25,23-Jan,,343567,8.71
47,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,233,"Drama, Fantasy, Ecchi",Studio Bind,TV,12,23,21-Oct,21-Dec,745276,8.71
48,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,818,"Action, Drama, Romance",Studio Deen,OVA,4,29,Feb-99,Sep-99,266140,8.71
49,86 Part 2,501,"Action, Drama, Sci-Fi",A-1 Pictures,TV,12,23,21-Oct,22-Mar,406768,8.71
50,Ashita no Joe 2,2966,"Drama, Sports",Tokyo Movie Shinsha,TV,47,24,Oct-80,Aug-81,46442,8.71
51,Code Geass: Hangyaku no Lelouch,20,"Action, Award Winning, Drama, Sci-Fi",Sunrise,TV,25,24,6-Oct,7-Jul,2117043,8.70
52,Mushishi Zoku Shou,762,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Artland,TV,10,24,14-Apr,14-Jun,284069,8.70
53,Odd Taxi,559,"Award Winning, Mystery","OLM, P.I.C.S.",TV,13,23,21-Apr,21-Jun,372968,8.70
54,Fate/stay night Movie: Heaven's Feel - III. Spring Song,693,"Action, Fantasy, Supernatural",ufotable,Movie,1,122,20-Aug,20-Aug,312624,8.69
55,Great Teacher Onizuka,217,"Comedy, Drama",Pierrot,TV,43,25,Jun-99,Sep-00,774672,8.69
56,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,1608,"Action, Adventure, Supernatural",David Production,ONA,14,24,22-Dec,22-Dec,124312,8.68
57,Made in Abyss: Retsujitsu no Ougonkyou,591,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Kinema Citrus,TV,12,25,22-Jul,22-Sep,358006,8.68
58,One Piece,21,"Action, Adventure, Fantasy",Toei Animation,TV,,24,Oct-99,,2111259,8.68
59,Mononoke Hime,103,"Action, Adventure, Award Winning, Fantasy",Studio Ghibli,Movie,1,133,Jul-97,Jul-97,1168616,8.67
60,Violet Evergarden,50,"Drama, Fantasy",Kyoto Animation,TV,13,24,18-Jan,18-Apr,1639865,8.67
61,Made in Abyss,93,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Kinema Citrus,TV,13,25,17-Jul,17-Sep,1261617,8.66
62,Mushishi,208,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Artland,TV,26,23,5-Oct,6-Jun,782453,8.66
63,Spy x Family,91,"Action, Award Winning, Comedy","Wit Studio, CloverWorks",TV,12,24,22-Apr,22-Jun,1270543,8.66
64,Hajime no Ippo: New Challenger,829,Sports,Madhouse,TV,26,23,9-Jan,9-Jul,261340,8.66
65,Howl no Ugoku Shiro,95,"Adventure, Award Winning, Drama, Fantasy, Romance",Studio Ghibli,Movie,1,119,4-Nov,4-Nov,1224115,8.66
66,Jujutsu Kaisen,17,"Action, Award Winning, Fantasy",MAPPA,TV,24,23,20-Oct,21-Mar,2172366,8.65
67,Natsume Yuujinchou Shi,930,"Drama, Slice of Life, Supernatural",Brain's Base,TV,13,24,12-Jan,12-Mar,233102,8.65
68,Shigatsu wa Kimi no Uso,23,"Drama, Romance",A-1 Pictures,TV,22,22,14-Oct,15-Mar,2071416,8.65
69,Bungou Stray Dogs 4th Season,1124,"Action, Mystery, Supernatural",Bones,TV,13,23,23-Jan,23-Mar,190819,8.64
70,Haikyuu!! Second Season,85,Sports,Production I.G,TV,25,24,15-Oct,16-Mar,1335487,8.64
71,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,96,Comedy,A-1 Pictures,TV,12,24,20-Apr,20-Jun,1222648,8.64
72,Chainsaw Man,106,"Action, Fantasy",MAPPA,TV,12,24,22-Oct,22-Dec,1166728,8.63
73,Kimetsu no Yaiba Movie: Mugen Ressha-hen,84,"Action, Fantasy",ufotable,Movie,1,116,20-Oct,20-Oct,1339410,8.63
74,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,504,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Kinema Citrus,Movie,1,105,20-Jan,20-Jan,406426,8.63
75,Suzume no Tojimari,1517,Fantasy,CoMix Wave Films,Movie,1,121,22-Nov,22-Nov,132505,8.63
76,Tengen Toppa Gurren Lagann,64,"Action, Adventure, Award Winning, Sci-Fi",Gainax,TV,27,24,7-Apr,7-Sep,1526623,8.63
77,Mo Dao Zu Shi: Wanjie Pian,2375,"Action, Adventure, Drama, Fantasy, Mystery",B.CMAY PICTURES,ONA,12,24,21-Aug,21-Oct,68971,8.62
78,Natsume Yuujinchou Roku,1235,"Drama, Slice of Life, Supernatural",Shuka,TV,11,23,17-Apr,17-Jun,174484,8.62
79,Ping Pong the Animation,567,"Award Winning, Drama, Sports",Tatsunoko Production,TV,11,23,14-Apr,14-Jun,367423,8.62
80,Shingeki no Kyojin Season 3,18,"Action, Drama",Wit Studio,TV,12,23,18-Jul,18-Oct,2156970,8.62
81,Cyberpunk: Edgerunners,389,"Action, Sci-Fi",Trigger,ONA,10,25,22-Sep,22-Sep,509453,8.62
82,Death Note,2,"Supernatural, Suspense",Madhouse,TV,37,23,6-Oct,7-Jun,3646544,8.62
83,Evangelion: 3.0+1.0 Thrice Upon a Time,639,"Action, Award Winning, Drama, Sci-Fi, Suspense",Khara,Movie,1,155,21-Mar,21-Mar,335420,8.61
84,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,284,"Drama, Romance, Supernatural",CloverWorks,Movie,1,90,19-Jun,19-Jun,647621,8.61
85,Suzumiya Haruhi no Shoushitsu,333,"Award Winning, Mystery, Sci-Fi, Supernatural",Kyoto Animation,Movie,1,161,10-Feb,10-Feb,583308,8.61
86,Mushishi Zoku Shou: Suzu no Shizuku,1636,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Artland,Movie,1,47,15-May,15-May,121292,8.60
87,Hajime no Ippo: Rising,922,Sports,"Madhouse, MAPPA",TV,25,22,13-Oct,14-Mar,235267,8.59
88,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,154,"Action, Adventure, Supernatural",David Production,TV,39,23,18-Oct,19-Jul,932997,8.58
89,Kizumonogatari II: Nekketsu-hen,486,"Action, Mystery, Supernatural",Shaft,Movie,1,64,16-Aug,16-Aug,417993,8.58
90,Natsume Yuujinchou San,905,"Drama, Slice of Life, Supernatural",Brain's Base,TV,13,24,11-Jul,11-Sep,240209,8.58
91,Ookami Kodomo no Ame to Yuki,219,"Award Winning, Fantasy, Slice of Life",Studio Chizu,Movie,1,117,12-Jul,12-Jul,772640,8.58
92,Natsume Yuujinchou Go,1238,"Drama, Slice of Life, Supernatural",Shuka,TV,11,23,16-Oct,16-Dec,173807,8.57
93,Shouwa Genroku Rakugo Shinjuu,788,Drama,Studio Deen,TV,13,26,16-Jan,16-Apr,278102,8.57
94,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,1065,"Action, Sci-Fi",Gainax,Movie,1,125,9-Apr,9-Apr,204257,8.57
95,Yojouhan Shinwa Taikei,484,"Award Winning, Comedy, Mystery, Romance",Madhouse,TV,11,22,10-Apr,10-Jul,421380,8.57
96,Ousama Ranking,358,"Adventure, Fantasy",Wit Studio,TV,23,22,21-Oct,22-Mar,544568,8.56
97,Fruits Basket 2nd Season,443,"Drama, Romance, Supernatural",TMS Entertainment,TV,25,23,20-Apr,20-Sep,455317,8.56
98,Karakai Jouzu no Takagi-san Movie,2796,"Romance, Comedy, Drama",Shin-Ei Animation,Movie,1,73,22-Jun,22-Jun,51581,8.56
99,Kenpuu Denki Berserk,328,"Action, Adventure, Drama, Fantasy, Horror",OLM,TV,25,25,Oct-97,Apr-98,592903,8.56
100,Kimi no Suizou wo Tabetai,174,"Drama, Romance",Studio VOLN,Movie,1,108,18-Sep,18-Sep,868840,8.56
101,Fate/Zero 2nd Season,128,"Action, Fantasy, Supernatural",ufotable,TV,12,24,12-Apr,12-Jun,1059895,8.55
102,Haikyuu!! To the Top Part 2,236,Sports,Production I.G,TV,12,23,20-Oct,20-Dec,735480,8.55
103,Zoku Natsume Yuujinchou,916,"Drama, Slice of Life, Supernatural",Brain's Base,TV,13,24,9-Jan,9-Mar,236841,8.55
104,Neon Genesis Evangelion: The End of Evangelion,178,"Avant Garde, Drama, Sci-Fi","Gainax, Production I.G",Movie,1,86,Jul-97,Jul-97,859494,8.55
105,Mushishi: Hihamukage,1528,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Artland,Special,1,45,14-Jan,14-Jan,131609,8.54
106,Slam Dunk,791,Sports,Toei Animation,TV,101,23,Oct-93,Mar-96,277078,8.54
107,Bakuman. 3rd Season,673,"Comedy, Drama, Romance",J.C.Staff,TV,25,24,12-Oct,13-Mar,317901,8.54
108,Kara no Kyoukai Movie 5: Mujun Rasen,951,"Action, Drama, Mystery, Romance, Supernatural, Suspense",ufotable,Movie,1,114,8-Aug,8-Aug,228244,8.53
109,Nana,320,"Drama, Romance",Madhouse,TV,47,23,6-Apr,7-Mar,604687,8.53
110,Perfect Blue,296,"Avant Garde, Drama, Horror",Madhouse,Movie,1,81,Feb-98,Feb-98,632700,8.53
111,Shingeki no Kyojin,1,"Action, Award Winning, Drama, Suspense",Wit Studio,TV,25,24,13-Apr,13-Sep,3673536,8.53
112,Shoujo☆Kageki Revue Starlight Movie,5046,"Action, Drama, Music, Psychological",Kinema Citrus,Movie,1,120,21-Jun,21-Jun,14905,8.53
113,Sora yori mo Tooi Basho,426,"Adventure, Comedy, Drama",Madhouse,TV,13,23,18-Jan,18-Mar,470253,8.53
114,Steins;Gate 0,191,"Drama, Sci-Fi, Suspense",White Fox,TV,23,23,18-Apr,18-Sep,814845,8.53
115,Yuru Camp△ Season 2,1078,Slice of Life,C-Station,TV,13,23,21-Jan,21-Apr,200839,8.53
116,Yakusoku no Neverland,38,"Mystery, Sci-Fi, Suspense",CloverWorks,TV,12,22,19-Jan,19-Mar,1828212,8.52
117,Gintama Movie 1: Shinyaku Benizakura-hen,1363,"Action, Comedy, Sci-Fi",Sunrise,Movie,1,95,10-Apr,10-Apr,154620,8.52
118,Gintama.: Porori-hen,1144,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,TV,13,23,17-Oct,17-Dec,187533,8.52
119,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,999,"Action, Mystery, Sci-Fi","Bandai Entertainment, Manga Entertainment",TV,26,25,4-Jan,5-Jan,218620,8.52
120,Road of Naruto,4273,"Action, Fantasy",Pierrot,ONA,1,9,22-Oct,22-Oct,22408,8.52
121,Summertime Render,519,"Mystery, Supernatural, Suspense",OLM,TV,25,23,22-Apr,22-Sep,397755,8.52
122,Samurai Champloo,105,"Action, Adventure, Comedy",Manglobe,TV,26,24,4-May,5-Mar,1168182,8.51
123,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,594,"Action, Fantasy, Supernatural",ufotable,Movie,1,117,19-Jan,19-Jan,355414,8.51
124,Hotaru no Haka,303,Drama,Studio Ghibli,Movie,1,88,Apr-88,Apr-88,624174,8.51
125,Kimetsu no Yaiba,7,"Action, Award Winning, Fantasy",ufotable,TV,26,23,19-Apr,19-Sep,2723019,8.51
126,Ansatsu Kyoushitsu 2nd Season,86,"Action, Comedy",Lerche,TV,25,23,16-Jan,16-Jul,1333996,8.50
127,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,131,"Action, Adventure, Supernatural",David Production,TV,39,23,16-Apr,16-Dec,1030201,8.50
128,Uchuu Kyoudai,1159,"Comedy, Sci-Fi",A-1 Pictures,TV,99,24,12-Apr,14-Mar,184621,8.50
129,One Punch Man,4,"Action, Comedy",Madhouse,TV,12,24,15-Oct,15-Dec,3001104,8.50
130,Shingeki no Kyojin Season 2,12,"Action, Drama, Suspense",Wit Studio,TV,12,24,17-Apr,17-Jun,2511603,8.50
131,Mob Psycho 100,33,"Action, Comedy, Supernatural",Bones,TV,12,24,16-Jul,16-Sep,1913735,8.49
132,Aria the Origination,1627,"Fantasy, Sci-Fi, Slice of Life",Hal Film Maker,TV,13,24,8-Jan,8-Apr,121935,8.49
133,Banana Fish,204,"Action, Adventure, Drama, Suspense",MAPPA,TV,24,22,18-Jul,18-Dec,790602,8.49
134,Jujutsu Kaisen 0 Movie,281,"Action, Fantasy",MAPPA,Movie,1,104,21-Dec,21-Dec,654386,8.49
135,Rainbow: Nisha Rokubou no Shichinin,551,"Drama, Suspense",Madhouse,TV,26,22,10-Apr,10-Sep,376061,8.48
136,Yuru Camp△ Movie,2538,Slice of Life,C-Station,Movie,1,120,22-Jul,22-Jul,61703,8.48
137,Chihayafuru 3,1545,"Drama, Sports",Madhouse,TV,24,22,19-Oct,20-Mar,129607,8.47
138,Gintama: The Semi-Final,2435,"Action, Comedy",Bandai Namco Pictures,Special,2,24,21-Jan,21-Jan,66472,8.47
139,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,592,"Award Winning, Drama, Mystery, Suspense",Shaft,Movie,1,116,13-Oct,13-Oct,356362,8.47
140,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,249,"Adventure, Comedy, Fantasy",J.C.Staff,Movie,1,90,19-Aug,19-Aug,703341,8.46
141,Nichijou,185,Comedy,Kyoto Animation,TV,26,23,11-Apr,11-Sep,838490,8.46
142,Fruits Basket: Prelude,2101,"Drama, Romance",TMS Entertainment,Movie,1,68,22-Feb,22-Feb,85185,8.46
143,Golden Kamuy 3rd Season,1400,"Action, Adventure",Geno Studio,TV,12,23,20-Oct,20-Dec,148404,8.45
144,Yuu☆Yuu☆Hakusho,289,"Action, Comedy, Supernatural",Pierrot,TV,112,24,Oct-92,Jan-95,643141,8.45
145,Zoku Owarimonogatari,1032,"Comedy, Mystery, Supernatural",Shaft,Movie,6,28,18-Nov,18-Nov,211028,8.45
146,Mo Dao Zu Shi,1024,"Action, Adventure, Drama, Fantasy, Mystery",B.CMAY PICTURES,ONA,15,25,18-Jul,18-Oct,212540,8.45
147,Owarimonogatari,442,"Comedy, Mystery, Supernatural",Shaft,TV,12,26,15-Oct,15-Dec,455848,8.45
148,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,203,"Drama, Fantasy, Suspense",White Fox,TV,12,29,21-Jan,21-Mar,791204,8.45
149,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,346,"Drama, Sci-Fi",White Fox,Movie,1,90,13-Apr,13-Apr,563350,8.45
150,Mushishi Zoku Shou: Odoro no Michi,1953,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Artland,Special,1,47,14-Aug,14-Aug,95490,8.44
151,Saenai Heroine no Sodatekata Fine,1272,"Comedy, Romance",Aniplex,Movie,1,114,19-Oct,19-Oct,168490,8.44
152,The First Slam Dunk,4936,Sports,"Toei Animation, DandeLion Animation Studio",Movie,1,124,22-Dec,22-Dec,15885,8.44
153,Tian Guan Ci Fu Special,3320,"Drama, Supernatural",Haoliners Animation League,ONA,1,22,21-Feb,21-Feb,37640,8.44
154,Haikyuu!!,36,Sports,Production I.G,TV,25,24,14-Apr,14-Sep,1834323,8.44
155,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,133,"Action, Adventure, Drama, Supernatural",David Production,TV,24,23,15-Jan,15-Jun,1024367,8.44
156,Karakai Jouzu no Takagi-san 3,1296,Comedy,Shin-Ei Animation,TV,12,24,22-Jan,22-Mar,164189,8.44
157,Gintama: Yorinuki Gintama-san on Theater 2D,3137,"Action, Comedy, Sci-Fi",Sunrise,Movie,2,96,12-Aug,12-Aug,41859,8.43
158,Grand Blue,245,Comedy,Zero-G,TV,12,24,18-Jul,18-Sep,712136,8.43
159,Kono Oto Tomare! Part 2,1340,"Drama, Romance",Platinum Vision,TV,13,23,19-Oct,19-Dec,158766,8.43
160,Mo Dao Zu Shi: Xian Yun Pian,1954,"Action, Adventure, Drama, Fantasy, Mystery",B.CMAY PICTURES,ONA,8,24,19-Aug,19-Sep,95465,8.43
161,Mononoke,717,"Fantasy, Horror, Mystery, Supernatural",Toei Animation,TV,12,22,7-Jul,7-Sep,301388,8.43
162,Saiki Kusuo no Ψ-nan 2,329,"Comedy, Supernatural","J.C.Staff, Egg Firm",TV,24,24,18-Jan,18-Jun,590901,8.43
163,Koukaku Kidoutai: Stand Alone Complex,539,"Action, Award Winning, Sci-Fi",Production I.G,TV,26,25,2-Oct,3-Oct,380555,8.42
164,Saiki Kusuo no Ψ-nan,136,"Comedy, Supernatural","J.C.Staff, Egg Firm",TV,120,5,16-Jul,16-Dec,1011926,8.42
165,Josee to Tora to Sakana-tachi,575,"Drama, Romance",Bones,Movie,1,98,20-Dec,20-Dec,364158,8.42
166,Vivy: Fluorite Eye's Song,411,"Action, Sci-Fi, Suspense",Wit Studio,TV,13,24,21-Apr,21-Jun,480615,8.42
167,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,541,"Drama, Fantasy",Kyoto Animation,Movie,1,91,19-Sep,19-Sep,378876,8.41
168,Wu Liuqi: Xuanwu Guo Pian,2853,"Action, Adventure, Comedy, Drama, Mystery",Sharefun Studio,ONA,10,16,21-Jan,21-May,49829,8.41
169,Major S5,2394,Sports,SynergySP,TV,25,24,9-Jan,9-Jun,68186,8.41
170,Natsume Yuujinchou Movie: Utsusemi ni Musubu,2441,"Drama, Slice of Life, Supernatural",Shuka,Movie,1,104,18-Sep,18-Sep,65995,8.41
171,Shingeki no Kyojin: Kuinaki Sentaku,414,Action,Wit Studio,OVA,2,27,14-Dec,15-Apr,479077,8.41
172,Hunter x Hunter,354,"Action, Adventure, Fantasy",Nippon Animation,TV,62,23,Oct-99,1-Mar,555659,8.41
173,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,54,Comedy,A-1 Pictures,TV,12,25,19-Jan,19-Mar,1589998,8.41
174,Gintama°: Aizome Kaori-hen,2168,Comedy,Bandai Namco Pictures,OVA,2,26,16-Aug,16-Nov,80188,8.40
175,Houseki no Kuni,479,"Action, Drama, Fantasy, Mystery",Orange,TV,12,24,17-Oct,17-Dec,425008,8.40
176,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),1094,"Action, Mystery, Romance, Supernatural, Suspense",ufotable,Movie,1,121,9-Aug,9-Aug,198318,8.40
177,Natsume Yuujinchou Roku Specials,3068,"Drama, Slice of Life, Supernatural",Shuka,Special,2,23,17-Sep,17-Oct,43413,8.40
178,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,527,"Drama, Fantasy",P.A. Works,Movie,1,115,18-Feb,18-Feb,392856,8.40
179,Tensei shitara Slime Datta Ken 2nd Season,183,"Action, Adventure, Comedy, Fantasy",8bit,TV,12,23,21-Jan,21-Mar,844957,8.39
180,Tian Guan Ci Fu,1713,"Action, Adventure, Drama, Supernatural",Haoliners Animation League,ONA,11,25,20-Oct,21-Jan,114763,8.39
181,3-gatsu no Lion,288,"Drama, Slice of Life",Shaft,TV,22,25,16-Oct,17-Mar,643278,8.39
182,Chihayafuru 2,966,"Drama, Sports",Madhouse,TV,25,22,13-Jan,13-Jun,224270,8.39
183,Cross Game,1656,"Drama, Romance, Sports",SynergySP,TV,50,23,9-Apr,10-Mar,119677,8.39
184,Kamisama Hajimemashita: Kako-hen,1353,"Comedy, Fantasy, Romance",TMS Entertainment,OVA,4,30,15-Aug,16-Aug,156243,8.39
185,Kaze ga Tsuyoku Fuiteiru,777,"Drama, Sports",Production I.G,TV,23,23,18-Oct,19-Mar,280547,8.39
186,Barakamon,298,Slice of Life,Kinema Citrus,TV,12,22,14-Jul,14-Sep,629615,8.38
187,Cowboy Bebop: Tengoku no Tobira,596,"Action, Sci-Fi",Bones,Movie,1,115,1-Sep,1-Sep,355019,8.38
188,Kimetsu no Yaiba: Mugen Ressha-hen,338,"Action, Fantasy",ufotable,TV,7,24,21-Oct,21-Nov,580502,8.38
189,Non Non Biyori Nonstop,1734,Slice of Life,SILVER LINK.,TV,12,24,21-Jan,21-Mar,113219,8.38
190,Kizumonogatari I: Tekketsu-hen,399,"Action, Mystery, Supernatural",Shaft,Movie,1,64,16-Jan,16-Jan,498415,8.37
191,Made in Abyss Movie 2: Hourou Suru Tasogare,1667,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Kinema Citrus,Movie,1,105,19-Jan,19-Jan,118805,8.37
192,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,1114,"Drama, Suspense",Shaft,Movie,1,109,12-Oct,12-Oct,193201,8.37
193,Mushoku Tensei: Isekai Ittara Honki Dasu,120,"Drama, Fantasy, Ecchi",Studio Bind,TV,11,23,21-Jan,21-Mar,1109635,8.37
194,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,272,"Comedy, Romance",Sentai Filmworks,TV,12,24,20-Jul,20-Sep,666880,8.37
195,Baccano!,176,"Action, Comedy, Mystery, Supernatural",Brain's Base,TV,13,24,7-Jul,7-Nov,868216,8.37
196,Fumetsu no Anata e,205,"Adventure, Drama, Supernatural",Brain's Base,TV,20,25,21-Apr,21-Aug,788650,8.37
197,Haikyuu!! To the Top,179,Sports,Production I.G,TV,13,24,20-Jan,20-Apr,855653,8.36
198,Kage no Jitsuryokusha ni Naritakute!,513,"Action, Comedy, Fantasy",Nexus,TV,20,23,22-Oct,23-Feb,401441,8.36
199,Kaze no Tani no Nausicaä,605,"Adventure, Award Winning, Fantasy",Topcraft,Movie,1,117,Mar-84,Mar-84,350535,8.36
